NoDTest,Title,Main Topic,Key Points,Abstract,Authors,Publication Year,Topic1,Topic2,Topic3,SubAspect,achiev,appli,classic,coher,construct,demonstr,deploy,establish,exist,generat,implement,includ,introduc,km,length,link,network,number,practic,present,previous,provid,scheme,techniqu,time,applic,attack,base,communic,bound,channel,cryptographi,comput,cryptograph,devic,error,distribut,effici,entangl,general,function,independ,long,measur,loss,model,phase,photon,proof,qkd,protocol,random,rate,secur,state,system,singl,verif,key,high,adapt,amplif,arbitrari,assumpt,bb84,commit,compos,conjectur,detect,distanc,field,finit,iid,imperfect,improv,integr,issu,linear,local,lower,optim,presenc,privaci,pseudorandom,qrng,reduc,resourc,robust,scalabl,scale,scenario,secret,stabil,standard,strong,switch,tf,toler,twin,variabl,Magnitude
1,All graph state verification protocols are composably secure,Composable security of graph state verification protocols,Graph state verification protocols can be made composably secure; disproved previous conjectures about composability in abstract cryptography. Introduced a protocol generalizing entanglement swapping for arbitrary graph states.,"Graph state verification protocols allow multiple parties to share a graph state while checking that the state is honestly prepared, even in the presence of malicious parties. Since graph states are the starting point of numerous quantum protocols, it is crucial to ensure that graph state verification protocols can safely be composed with other protocols, this property being known as composable security. Previous works conjectured that such a property could not be proven within the abstract cryptography framework: we disprove this conjecture by showing that all graph state verification protocols can be turned into a composably secure protocol with respect to the natural functionality for graph state preparation. Moreover, we show that any unchanged graph state verification protocol can also be considered as composably secure for a slightly different, yet useful, functionality. Finally, we show that these two results are optimal, in the sense that any such generic result, considering arbitrary black-box protocols, must either modify the protocol or consider a different functionality. Along the way, we show a protocol to generalize entanglement swapping to arbitrary graph states that might be of independent interest.","Léo Colisson (CWI/QuSoft, Amsterdam); Damian Markham (CNRS); Raja Yehia (ICFO)",2024,0.810838,0.0972893,0.0918728,1,0,0,0,0,0,0,0,0,0,0,0,0,0.102535,0,0,0,0,0,0,0,0.180974,0,0,0,0,0,0,0,0,0,0,0.180974,0,0,0,0,0,0,0.155587,0.155587,0,0,0,0,0,0,0,0,0,0,0.347198,0,0,0.140936,0.347198,0,0,0.412722,0,0,0,0,0.155587,0,0,0,0.622346,0.180974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999994
2,A fast and robust quantum random number generator with a self-contained integrated photonic randomness core,Quantum random number generation (QRNG) using integrated photonic circuits,Presented a fast and scalable QRNG integrated with a photonic circuit for industrial deployment. Demonstrated robustness and stability over long periods of operation. Implemented a security model with secure generation at 2 Gbit/s.,"Random numbers play a crucial role in information technology, particularly as digital communication capacity continues to expand. Consequently, the need for secure and high-rate random number generation has become increasingly urgent. While integrated photonics technology holds promise for mass-producing optoelectronic quantum random number generators (QRNGs), there remains a challenge in developing fast, robust, and scalable solutions suitable for industrial deployment. Addressing this challenge, we present a fast QRNG solution in this study, leveraging a photonic integrated circuit (PIC) directly embedded onto a versatile electronic platform. Designed to withstand real-world applications, our PIC is packaged to align with industrial electronic assembly lines. To rigorously assess scalability and stability, these generators underwent week-long periods of continuous GHz operation. Furthermore, a QRNG was integrated into a quantum key distribution system, where despite operating in an uncontrolled environment, minimal variations in physical randomness were observed over 38 days, as measured from 2.9 million histograms. Finally, we implemented a security model for the QRNGs, enabling rate adjustment to match the actual randomness content and demonstrating secure generation at 2 Gbit/s.","Davide G. Marangon (Department of Engineering of Information, University of Padova); Peter Raymond Smith (Toshiba Research Europe Limited); Nathan Walk (Toshiba Research Europe Limited); Taofiq Paraiso (Toshiba Research Europe Limited); James F. Dynes (Toshiba Research Europe Limited); Victor Lovic (Toshiba Research Europe Limited); Mirko Sanzaro (Toshiba Research Europe Limited); Thomas Roger (Toshiba Research Europe Limited); Innocenzo De Marco (Toshiba Research Europe Limited); Marco Lucamarini (Department of Physics and York Centre for Quantum Technologies, University of York); Zhiliang Yuan (Toshiba Research Europe Limited); Andrew J. Shields (Toshiba Research Europe Limited)",2024,0.0768625,0.84555,0.0775873,2,0,0,0,0,0,0.0742627,0.144064,0,0,0.343345,0.127385,0,0,0,0,0,0,0.25477,0,0.167571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167571,0,0,0.127385,0,0.284823,0,0,0,0.382155,0,0.0869986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432191,0,0,0,0,0,0,0,0,0.335141,0,0,0.335141,0.167571,0,0,0,0.167571,0,0,0,0,0,0,0,1.000000173
3,Conditional disclosure of secrets with quantum resources,Study of Conditional Disclosure of Secrets (CDS) with quantum resources,"Defined the quantum analogue of CDS, called CDQS. Studied the relationship between privacy and quantum resources. Established closure under negation and amplification properties. Provided lower bounds on CDQS using communication complexity techniques.","The conditional disclosure of secrets (CDS) primitive is among the simplest cryptographic settings in which to study the relationship between communication, randomness, and security. CDS involves two parties, Alice and Bob, who do not communicate but who wish to reveal a secret $z$ to a referee if and only if a Boolean function $f$ has $f(x,y)=1$. Alice knows $x,z$, Bob knows $y$, and the referee knows $x,y$. Recently, a quantum analogue of this primitive called CDQS was defined and related to $f$-routing, a task studied in the context of quantum position-verification. CDQS has the same inputs, outputs, and communication pattern as CDS but allows the use of shared entanglement and quantum messages. We initiate the systematic study of CDQS, with the aim of better understanding the relationship between privacy and quantum resources in the information theoretic setting. Following the classical literature on CDS for guidance, we establish closure under negation, an amplification property, and prove a number of lower bounds on CDQS based on communication complexity.","Alex May (Institute for Quantum Computing and Perimeter Institute for Theoretical Physics, Waterloo); Vahid Reza Asadi (University of Waterloo); Kohdai Kuroiwa (Institute for Quantum Computing and Perimeter Institute for Theoretical Physics, Waterloo); Debbie Leung (Institute for Quantum Computing and Perimeter Institute for Theoretical Physics, Waterloo); Sabrina Pasterski (Perimeter Institute for Theoretical Physics, Waterloo); Chris Waddell (Perimeter Institute for Theoretical Physics, Waterloo)",2024,0.0975417,0.0937905,0.808668,3,0,0,0,0,0,0,0,0.176263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143737,0,0.199342,0,0,0,0,0.176263,0.131371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231868,0,0,0.231868,0,0,0,0.695605,0,0,0,0,0.463737,0,0,0,0,0,0,0,0,0.999999909
4,Lower bounds on entanglement and quantum gates in non-local quantum computation,Non-local quantum computation (NLQC) and resource lower bounds,Presented lower bounds on entanglement and quantum gates in NLQC settings (f-routing and f-BB84). Established linear lower bounds on entanglement for specific functions and a new lower bound on quantum gates in verification schemes.,"A non-local quantum computation (NLQC) replaces an interaction between two quantum systems with a single simultaneous round of communication and shared entanglement. We study two classes of NLQC, f-routing and f-BB84. These are well studied in the context of position-verification, where they are leading candidates for feasible and secure verification schemes. Both settings require an honest prover implement only O(1) quantum operations. We prove that a dishonest prover must use linear quantum resources to attack the same scheme. First, we give the first non-trivial lower bounds on entanglement in both settings, but are restricted to lower bounding protocols with perfect correctness. Our bound can be stated in terms of the quantum non-deterministic communication complexity of f. For the equality, non-equality, and greater-than functions we obtain linear lower bounds on entanglement for f-routing and f-BB84 in the perfect setting. In a second result, which applies in the robust setting, we give a new lower bound on the number of quantum gates and measurements needed to attack these verification schemes. We lower bound the gates plus measurements linearly in the simultaneous message passing cost of the function f. This leads to a linear bound against the inner product function. This gives a clear separation between the difficulty of implementing these tasks in the honest and dishonest settings, and does so in a noise robust and loss tolerant setting.",Alex May (Perimeter Institute for Theoretical Physics); Vahid Reza Asadi (University of Waterloo); Eric Culf (University of Waterloo); Richard Cleve (University of Waterloo),2024,0.0949692,0.0951607,0.80987,3,0,0,0,0,0,0,0,0.103305,0,0,0,0,0,0,0,0,0,0,0,0.135894,0,0,0.103305,0,0,0,0,0,0,0.38497,0,0,0.271788,0,0,0,0,0,0.350492,0,0.116831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103305,0,0,0,0,0,0,0.135894,0,0,0,0,0,0,0,0,0,0,0,0,0.135894,0.271788,0.679471,0,0,0,0,0,0,0.135894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999393
5,Making Existing Quantum Position Verification Protocols Secure Against Arbitrary Transmission Loss,Secure quantum position verification (QPV) protocols against transmission loss,"Modified existing QPV protocols to become loss-tolerant by reducing the overall loss rate to the prover's lab. Introduced photon presence detection and a small time delay for secure transmission. The adapted protocol allows secure QPV over long distances, addressing major practical issues and providing strong security guarantees.","Signal loss poses a significant threat to the security of quantum cryptography when the chosen protocol lacks loss-tolerance. In quantum position verification (QPV) protocols, even relatively small loss rates can compromise security. The goal is thus to find protocols that remain secure under practically achievable loss rates. In this work, we modify the usual structure of QPV protocols and prove that this modification makes the potentially high transmission loss between the verifiers and the prover security-irrelevant for a class of protocols that includes a practically-interesting candidate protocol inspired by the BB84 protocol. This modification, which involves photon presence detection, a small time delay at the prover, and a commitment to play before proceeding, reduces the overall loss rate to just the prover’s laboratory. The adapted protocol then becomes a practically feasible QPV protocol with strong security guarantees, even against attackers using adaptive strategies. As the loss rate between the verifiers and prover is mainly dictated by the distance between them, secure QPV over longer distances becomes possible. We also show possible implementations of the required photon presence detection, making the adapted protocol a protocol that solves all major practical issues in QPV. Finally, we discuss experimental aspects and give parameter estimations.","Rene Allerstorfer (QuSoft (CWI Amsterdam)); Andreas Bluhm (Univ. Grenoble Alpes, CNRS, Grenoble INP, LIG); Harry Buhrman (QuSoft, CWI Amsterdam, University of Amsterdam); Matthias Christandl (University of Copenhagen); Llorenç Escolà-Farràs (QuSoft, CWI Amsterdam, University of Amsterdam); Florian Speelman (QuSoft, University of Amsterdam); Philip Verduyn Lunel (QuSoft (CWI Amsterdam))",2024,0.840682,0.0848734,0.074445,1,0,0,0,0,0,0,0,0,0.275731,0,0,0,0.0908563,0,0,0,0,0,0.137865,0,0,0.0994088,0,0,0.160361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160361,0,0.641444,0,0,0.0908563,0,0,0.307652,0,0.0834478,0.208139,0,0,0,0.243809,0,0,0.137865,0,0.137865,0,0,0,0,0,0.137865,0.160361,0,0,0,0,0,0,0.160361,0,0,0,0,0.160361,0,0,0,0.160361,0,0,0,0,0,0,0,0,0.160361,0,0,0.160361,0,0,1.000000015
6,On the composable security of weak coin flipping,Weak Coin Flipping Security,Weak coin flipping as a cryptographic primitive. No composable security for weak coin flipping. Stand-alone security under sequential composition established.,"Weak coin flipping is a cryptographic primitive in which two mutually distrustful parties generate a shared random bit to agree on a winner via remote communication. While a stand-alone secure weak coin flipping protocol can be constructed from noiseless communication channels, its composability has not been explored. In this work, we demonstrate that no weak coin flipping protocol can be abstracted into a black box resource with composable security. Despite this, we also establish the overall stand-alone security of weak coin flipping protocols under sequential composition.",Jiawei Wu (National University of Singapore); Yanglin Hu (National University of Singapore); Akshay Bansal (Virginia Tech); Marco Tomamichel (National University of Singapore),2024,0.755751,0.118063,0.126185,1,0,0,0,0,0,0,0,0.320879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438294,0,0,0,0,0,0,0,0,0,0,0,0,0.725784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000004
7,Hacking twin-field quantum key distribution via wavelength-switching attack,Twin-Field QKD Security,Wavelength-switching attack on TF-class QKD. Identified vulnerabilities in the OPLL scheme. Demonstrated increase in mean photon number compromising security.,"The twin-field class quantum key distribution (TF-class QKD) has experimentally demonstrated the ability to surpass the fundamental rate-distance limit without requiring a quantum repeater, as a revolutional milestone. In TF-class QKD implementation, an optical phase-locked loop (OPLL) structure is commonly employed to generate a reference light with correlated phase, ensuring coherence of optical fields between Alice and Bob. In this configuration, the reference light, typically located in the untrusted station Charlie, solely provides wavelength reference for OPLL and does not participate in quantum-state encoding. However, the reference light may open a door for Eve to enter the source stations that are supposed to be well protected. Here, by identifying vulnerabilities in the OPLL scheme, we propose and demonstrate a wavelength-switching attack on a TF-class QKD system. This attack involves Eve deliberately manipulating the wavelength of the reference light to increase mean photon number of prepared quantum states, while maintaining stable interference between Alice and Bob as required by TF-class QKD protocols. The maximum observed increase in mean photon number is 8.7%, which has been theoretically proven to compromise the security of a TF-class QKD system. Through this study, we disclose security vulnerabilities associated with TF-class QKD implementation and provide valuable insights into its practical security.",Peng Qingqian (National University of Defense Technology); Chen Jiupeng (Jinan Institute of Quantum Technology); Xing Tianyi (National University of Defense Technology); Wang Dongyang (National University of Defense Technology); Wang Yizhi (National University of Defense Technology); Ying Guo (Beijing University of Posts and Telecommunications); Liu Yang (Jinan Institute of Quantum Technology); Huang Anqi (National University of Defense Technology),2024,0.0895753,0.827109,0.0833153,2,0,0,0,0,0,0.108415,0,0,0,0,0,0,0,0,0,0,0,0.185968,0,0,0,0,0.185968,0,0,0,0.334163,0,0,0,0,0,0,0,0,0,0.138603,0,0,0,0,0,0,0,0,0,0,0.138603,0,0.159874,0,0,0,0.127008,0,0,0,0,0.108415,0,0,0,0,0,0,0,0,0,0,0,0.420633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489269,0.244634,0,0.489269,0,0.999999632
8,Security Proof for Variable-Length Quantum Key Distribution,Variable-Length QKD Security,Security proof against IID collective attacks. Conversion of fixed-length proofs to variable-length protocols. Improved key rates and fixed privacy amplification flaws.,"We present a security proof for variable-length QKD against IID collective attacks. Our proof can be lifted to coherent attacks using the postselection technique. Our first main result is a theorem to convert a sequence of security proofs for fixed-length protocols satisfying certain conditions to a security proof for a variable-length protocol. This conversion requires no new calculations, does not require any changes to the final key lengths or the amount of error-correction information, and at most doubles the security parameter. Our second main result is the description and security proof of a more general class of variable-length QKD protocols, which does not require characterizing the honest behaviour of the channel connecting the users before the execution of the QKD protocol. Instead, these protocols adaptively determine the length of the final key, and the amount of information to be used for error-correction, based upon the observations made during the protocol. We apply these results to the qubit BB84 protocol, and show that variable-length implementations lead to higher expected key rates than the fixed-length implementations. Finally, we point out a critical flaw in the analysis of privacy amplification that arises due to sifting. We provide an elegant solution that retroactively fixes this flaw.",Devashish Tupkary (Institute for Quantum Computing); Ernest Y.-Z. Tan (Institute for Quantum Computing); Norbert Lütkenhaus (Institute for Quantum Computing),2024,0.800781,0.103054,0.0961652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606073,0,0,0,0,0,0,0,0,0,0,0,0.136131,0,0,0,0,0,0,0,0,0,0.112928,0,0,0,0,0,0,0,0,0,0,0,0.408392,0.0651291,0.0955974,0,0.10372,0.155221,0,0,0,0,0.176664,0,0,0.199317,0,0,0,0,0,0,0,0,0,0,0.199317,0,0.171357,0,0,0,0,0,0,0,0.199317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454555,1.000000193
9,Variable-length QKD security proof for imperfect detectors through phase-error estimation,Security with Imperfect Detectors in Variable-Length QKD,Security proof against coherent attacks. Solves detector side channels issue. Applicable to practical QKD scenarios.,"Security proofs for quantum key distribution (QKD) based on the entropic uncertainty relations and the phase-error approach have the advantage of producing some of the tightest key rates against coherent attacks. We prove the security of QKD using the entropic uncertainty relations, for scenarios where Eve is allowed full control of the detection efficiency and dark rates of all detectors within some specified ranges. Thus, our work solves the practically important problem of detector side channels. Our work also removes the requirement of ``basis-independent loss'' required by these proof techniques. Thus, we render these proof techniques applicable to practical QKD scenarios. Furthermore, we prove security for variable-length QKD protocols, which do not require Alice and Bob to characterize the honest behaviour of the channel.",Devashish Tupkary (Institute for Quantum Computing); Shlok Nahar (Institute for Quantum Computing); Pulkit Sinha (Institute for Quantum Computing); Norbert Lutkenhaus (Institute for Quantum Computing),2024,0.0930043,0.0863506,0.820645,3,0,0,0,0.224507,0,0,0,0,0,0,0,0,0,0,0.341336,0,0,0,0.193013,0,0,0,0,0,0,0.170668,0.153335,0,0,0,0.224507,0,0,0,0,0.224507,0,0,0,0,0,0,0,0,0,0,0.224507,0,0.306671,0.220081,0,0,0,0.174838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449015,0,0,0.224507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224507,0,0,0,0,0,0,0,0,0.341336,0.99999982
10,Tighter concentration inequalities for quantum adversarial setups exploiting permutation symmetry,Quantum State Concentration Inequalities,New concentration inequalities for N-qudit systems. Tighter bounds than previous methods. Numerical demonstrations in quantum information processing tasks.,"We developed new concentration inequalities for a quantum state on an N -qudit system or measurement outcomes on it that apply to an adversarial setup, where an adversary prepares the quantum state. Our one-sided concentration inequalities for a quantum state require the N -qudit system to be permutation invariant and are thus de-Finetti type, but they are tighter than the one previously obtained. We show that the bound can further be tightened if each qudit system has an additional symmetry. Furthermore, our concentration inequality for the outcomes of independent and identical measurements on an N -qudit quantum system has no assumption on the adversarial quantum state and is much tighter than the conventional one obtained through Azuma’s inequality. We numerically demonstrate the tightness of our bounds in simple quantum information processing tasks.",Takaya Matsuura (RMIT University); Shinichiro Yamano (The University of Tokyo); Yui Kuramochi (Kyushu University); Toshihiko Sasaki (The University of Tokyo); Masato Koashi (The University of Tokyo),2024,0.121835,0.761334,0.116832,2,0,0,0,0,0,0.297846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672078,0,0,0,0,0,0,0,0,0.380781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322345,0.459019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999995
11,Decoy state quantum key distribution for practical single-photon sources,SPS-Based QKD with Decoy States,Generalized decoy state techniques for SPS. Finite-key security bounds. Key rate enhancement and loss tolerance improvements over DS WCPs.,"High brightness, low second-order correlation function single-photon sources (SPSs) are an alternative to commonly employed weak coherent pulse (WCP) sources for discrete variable quantum key distribution (QKD) and offer potential key-rate and finite-block scaling advantages. However, the loss tolerance of SPS-based QKD is compromised by photon number splitting (PNS) attacks against non-negligible multiphoton emissions. Decoy state (DS) techniques mitigate against PNS attacks, with WCP-DS QKD over several hundred km in fibre being demonstrated. DS QKD protocols for different source photon number statistics have been proposed, such as for binomial and thermal distributions. Here, we investigate the use of generalised DS techniques assuming we do not have access to the true photon number statistics of the SPS. Thus, we bound the source distribution using the mean photon number and the second-order correlation function, which provides us with enough partial knowledge to compute our decoy SPS protocols. Hence, we provide finite-key security bounds for an SPS-based Efficient BB84 for several decoy protocols with optimised parameters, and derive required SPS characteristics to achieve a key rate enhancement over DS WCPs and match their loss tolerance.",Roberto Pousa (University of Strathclyde); Daniel Oi (University of Strathclyde); John Jeffers (University of Strathclyde),2024,0.829489,0.0845269,0.0859846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248326,0,0,0,0,0.248326,0,0,0,0.197277,0,0.163652,0,0,0,0,0,0,0.163652,0,0,0.248326,0,0,0,0,0.288845,0,0,0.163652,0,0.0943834,0,0,0.150308,0.0749807,0.415612,0,0.219576,0,0.384025,0,0,0,0,0,0,0,0,0,0,0,0,0.248326,0,0,0.248326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288845,0,0,1.000000503
12,Implementation of mode-pairing quantum key distribution in inter-city networks,Mode-Pairing QKD Implementation,Field tests of mode-pairing protocol over inter-city distances. Achieved key rates comparable to single quantum links. Demonstrates adaptability and efficiency.,"Quantum key distribution is a cornerstone of quantum technology, offering information-theoretical secure keys for remote parties. With many quantum communication networks established globally, the mode-pairing protocol stands out for its efficacy over inter-city distances using simple setups, emerging as a promising solution. In this study, we employ the mode-pairing scheme into existing inter-city fiber links, conducting field tests across distances ranging from tens to about a hundred kilometers. Our system achieves a key rate of $1.217$ kbit/s in a $195.85$ km symmetric link and $3.089$ kbit/s in a $127.92$ km asymmetric link without global phase locking. The results demonstrate that the mode-pairing protocol can achieve key rates comparable to those of a single quantum link between two trusted nodes on the Beijing-Shanghai backbone line, effectively reducing the need for half of the trusted nodes. These field tests confirm the mode-pairing scheme's adaptability, efficiency, and practicality, positioning it as a highly suitable protocol for quantum networks.","Yizhi Huang (Center for Quantum Information, Institute for Interdisciplinary Information Sciences, Tsinghua University); Hao-Tao Zhu (Hefei National Laboratory, University of Science and Technology of China, Hefei); Wen-Xin Pan (Hefei National Laboratory, University of Science and Technology of China, Hefei); Chao-Wu Zhou (Hefei National Laboratory, University of Science and Technology of China, Hefei); Mi Zou (Hefei National Laboratory, University of Science and Technology of China); Shibiao Tang (QuantumCTek Corporation Limited, Hefei); Xiongfeng Ma (Center for Quantum Information, Institute for Interdisciplinary Information Sciences, Tsinghua University); Teng-Yun Chen (Hefei National Laboratory, University of Science and Technology of China, Hefei); and Jian-Wei Pan (Hefei National Laboratory, University of Science and Technology of China, Hefei)",2024,0.081824,0.835365,0.0828112,2,0.221842,0,0,0,0,0.143948,0,0,0,0,0.493837,0,0,0,0,0.246918,0.246918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18403,0.246918,0,0,0,0,0,0,0,0,0,0,0,0.106136,0.155788,0,0.169024,0,0,0,0.246918,0,0.287896,0,0.279247,0,0,0,0,0,0,0,0,0.324812,0.279247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999749
