NoDTest,Title,Main Topic,Key Points,Abstract,Authors,Publication Year,Topic1,Topic2,Topic3,SubAspect,achiev,appli,classic,coher,construct,demonstr,deploy,establish,exist,generat,implement,includ,introduc,km,length,link,network,number,practic,present,previous,provid,scheme,techniqu,time,applic,attack,base,communic,bound,channel,cryptographi,comput,cryptograph,devic,error,distribut,effici,entangl,general,function,independ,long,measur,loss,model,phase,photon,proof,qkd,protocol,random,rate,secur,state,system,singl,verif,key,high,adapt,amplif,arbitrari,assumpt,bb84,commit,compos,conjectur,detect,distanc,field,finit,iid,imperfect,improv,integr,issu,linear,local,lower,optim,presenc,privaci,pseudorandom,qrng,reduc,resourc,robust,scalabl,scale,scenario,secret,stabil,standard,strong,switch,tf,toler,twin,variabl,Magnitude
13,Security of hybrid BB84 with heterodyne detection,Hybrid QKD Protocol Security,Security proof for hybrid BB84 protocol. Exploits symmetry to handle continuous-variable challenges. Applied theory to various attack scenarios.,"Quantum key distribution (QKD) promises everlasting security based on the laws of physics. Most common protocols are grouped into two distinct categories based on the degrees of freedom used to carry information, which can be either discrete or continuous, each presenting unique advantages in either performance, feasibility for near-term implementation, and compatibility with existing telecommunications architectures. Recently, hybrid QKD protocols have been introduced to leverage advantages from both categories. In this work we provide a rigorous security proof for a protocol introduced by Qi in 2021, where information is encoded in discrete variables as in the widespread Bennett Brassard 1984 (BB84) protocol but decoded continuously via heterodyne detection. Security proofs for hybrid protocols inherit the same challenges associated with continuous-variable protocols due to unbounded dimensions. Here we successfully address these challenges by exploiting symmetry. Our approach enables truncation of the Hilbert space with precise control of the approximation errors and lead to a tight, semi-analytical expression for the asymptotic key rate under collective attacks. As concrete examples, we apply our theory to compute the key rates under passive attacks, linear loss, and Gaussian noise.",Jasminder Sidhu (University of Strathclyde); Rocco Maggi (Politecnico di Bari); Saverio Pascazio (Universita di Bari); Cosmo Lupo (Politecnico di Bari),2024,0.100113,0.805333,0.0945531,2,0,0.247142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222043,0.106232,0.311859,0,0,0.253181,0,0,0,0,0,0,0,0,0,0,0.650214,0,0,0,0.2795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325107,0,0,0,0,0,0,0,0,0.247142,0.999999737
14,High-speed Heterodyne-based Quantum Random Number Generator on a Chip,High-Speed QRNG Technology,High-performance QRNG using integrated silicon photonics. Achieves over 20 Gbps rate. Reduces spatial footprint and simplifies implementation.,"A wide range of applications require, by hypothesis, to have access to a private and genuine random source. Quantum Random Number Generators (QRNGs) are currently the sole technology capable of producing true randomness. Nevertheless, other factors must be considered when addressing real-world use cases, and the bulkiness of current implementations significantly limits their adoption. In this work, we present a high-performance source-device independent QRNG leveraging a custom-made integrated silicon photonic chip. The proposed scheme exploits the properties of a heterodyne receiver to enhance security and integration to promote spatial footprint reduction while simplifying its implementation. Such characteristics could represent a significant advancement toward the development of generators better suited to meet the demands of portable and space applications. Indeed, the system can deliver secure random numbers at a rate greater than 20 Gbps with a reduced encumbrance.",Tommaso Bertapelle (Università degli Studi di Padova); Marco Avesani (Università degli Studi di Padova); Alberto Montanaro (Scuola Superiore Sant’Anna); Massimo Artiglia (Scuola Superiore Sant’Anna); Francesco Testa (Scuola Superiore Sant’Anna); Gabriele De Angelis (Scuola Superiore Sant’Anna); Giampiero Contestabile (Scuola Superiore Sant’Anna); Giuseppe Vallone (Università degli Studi di Padova); Paolo Villoresi (Università degli Studi di Padova),2024,0.0954917,0.819201,0.0853068,2,0.184778,0,0,0,0,0,0,0,0,0.184778,0.205665,0,0,0,0,0,0,0.205665,0,0,0,0,0,0,0,0,0,0.184778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153284,0,0,0,0.205665,0.140785,0,0,0,0,0,0,0.554335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232593,0,0,0,0,0,0,0,0,0.54109,0.270545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999593
15,28-pixel parallel SNSPDs with low jitter at high detection rates for high-speed quantum communication,High-Speed Photon Detection,Fabrication and characterization of 28-pixel P-SNSPD. High detection efficiency and low jitter. Achieves high detection rates and measures photon number resolving capabilities.,"We report the fabrication and characterization of 28-pixel P-SNSPD, reaching 88% system detection efficiency (SDE) at the single photon level. The detector is able to detect single-photon events at 250 Mcps with 50% nominal SDE, using only a single coaxial read-out cable, and maintains a timing jitter below 80 ps until 200 Mcps. Moreover,we achieve 1 Gcps detection rates by using only 4 P-SNSPD detectors and an 1:4 commercially available optical splitter Finally, we show how the P-SNSPD architecture allows us to maintain a very low jitter even at the high detection rates. We finally analyze the PNR capability of the array and measure efficiencies of 75% at 2-photon and 60% at 3-photon at 1550nm.","Lorenzo Stasi (ID Quantique SA and Group of Applied Physics, University of Geneva); Towsif Taher (Group of Applied Physics, University of Geneva); Giovanni V. Resta (ID Quantique SA); Hugo Zbinden (Group of Applied Physics, University of Geneva); Robert Thew (Group of Applied Physics, University of Geneva); and Félix Bussières (ID Quantique SA)",2024,0.103941,0.795302,0.100758,2,0.12728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141667,0,0,0,0,0,0,0,0,0,0,0.141667,0,0,0,0,0,0,0,0,0.141667,0,0,0,0,0,0.160216,0,0,0,0.211172,0,0,0,0,0.193953,0,0,0,0,0,0,0.6364,0,0,0,0,0,0,0,0,0.640863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999853
16,Asynchronous Measurement-Device-Independent Quantum Key Distribution with Local Frequency Reference,Quantum Key Distribution (QKD),- Asynchronous MDI-QKD system with high stability - Secure key rate of 14.65 bit/s over 504 km - Demonstrates advantage over repeaterless bounds,"A post-measurement coincidence pairing technique is proposed to hold a repeater-like advantage and simultaneously mitigate the global phase tracking. Here, we demonstrate a practical asynchronous MDI-QKD system with an excellent long-term stability. With the use of two independent economical acetylene-stabilized fiber lasers, we achieve a secure key rate (SKR) of 14.65 bit/s over 504 km fiber, beating the absolute repeaterless bound by 1.18 times. Our work will advance the development of economical and efficient quantum network.",Chengfang Ge (Beijing Academy of Quantum Information Sciences); Lai Zhou (Beijing Academy of Quantum Information Sciences); Jinping Lin (Beijing Academy of Quantum Information Sciences); Hua-Lei Yin (Renmin University of China); Zhiliang Yuan (Beijing Academy of Quantum Information Sciences),2024,0.0823586,0.840138,0.0775032,2,0,0,0,0,0,0.138602,0,0,0,0,0,0,0,0.268876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177195,0,0,0,0,0.268876,0,0.35439,0,0,0,0,0.268876,0,0.268876,0,0,0,0,0,0.204388,0,0,0.162747,0.0811858,0,0.213603,0,0,0.415805,0.213603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312749,0,0,0,0,0,0,0,1.000000199
17,The power of a single Haar random state: constructing and separating quantum pseudorandomness,Quantum Pseudorandomness,- Single Haar random state suffices for pseudorandomness - Separates different forms of quantum pseudorandomness - Introduces 1PRS and its implications,"In this work, we focus on the following question: what are the cryptographic implications of having access to an oracle that provides a single Haar random quantum state? We show, perhaps surprisingly, that such an oracle is sufficient to construct quantum pseudorandomness. Pseudorandom states (PRS) are a family of states for which it is hard to distinguish between polynomially many copies of either a state sampled uniformly from the family or a Haar random state. A weaker notion, called single-copy pseudorandom states (1PRS), satisfies this property with respect to a single copy. Our main result is that 1PRS (as well as bit-commitments) exist relative to an oracle that provides a single Haar random state. We build on this result to show the existence of an oracle relative to which 1PRS exist, but PRS do not. This provides one of the first black-box separations between different forms of quantum pseudorandomness.",Boyang Chen (Tsinghua University); Andrea Coladangelo (University of Washington); Or Sattath (Ben Gurion University of the Negev),2024,0.112917,0.115011,0.772072,3,0,0,0,0,0.17305,0,0,0,0,0,0,0,0.143554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385222,0,0,0.243048,0,0.385222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000389
18,On Pseudorandomness in the Common Haar State Model,Quantum Pseudorandomness in Common Haar State Model,#NAME?,"Common random string model is a popular model in classical cryptography with many constructions proposed in this model. We study a quantum analogue of this model called the common Haar state model, which was also studied in an independent work by Chen, Coladangelo and Sattath (arXiv 2024). In this model, every party in the cryptographic system receives many copies of one or more i.i.d Haar states. Our main result is the construction of a statistically secure pseudorandom function-like state generator (PRFSG) in the common Haar state model. Our construction satisfies stretch property (output length > $\lambda$), can handle inputs of length $\lambda^{c}$ and is secure as long as the adversary gets $O\left(\frac{\lambda^{1-c}}{(\log(\lambda))^{1.01}} \right)$ number of queries, where $\lambda$ is the length of the PRFSG key and $c \in [0,1)$. We show the optimality of our construction by proving a matching lower bound. As a consequence, for the first time, we show that (computationally secure) PRFSGs for super-logarithmic input length can be constructed from (computationally secure) pseudorandom state generators in some parameter regimes.","Prabhanjan Ananth (University of California, Santa Barbara); Aditya Gulati (University of California, Santa Barbara); Yao-Ting Lin (University of California, Santa Barbara)",2024,0.109942,0.103977,0.786081,3,0,0,0,0,0.19211,0,0,0,0,0.19211,0,0,0,0,0.213825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241821,0,0,0,0,0.427651,0,0,0,0,0,0,0,0.0730168,0.404726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241821,0,0,0.641476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999926
19,MadQCI: a heterogeneous and scalable SDN QKD network deployed in production facilities.,Scalable QKD Network,#NAME?,"Current quantum key distribution (QKD) networks focus almost exclusively on transporting secret keys with the highest possible rate. Consequently, they are built as mostly fixed, ad hoc, logically, and physically isolated infrastructures designed to avoid any penalty to the quantum channel. This architecture is neither scalable nor cost-effective and future, real-world deployments will differ considerably. The structure of the MadQCI QKD network presented here is based on disaggregated components and modern paradigms especially designed for flexibility, upgradability, and facilitating the integration of QKD in the security and telecommunications-networks ecosystem. These underlying ideas have been tested by deploying many QKD systems from several manufacturers in a real-world, multi-tenant telecommunications network, installed in production facilities and sharing the infrastructure with commercial traffic. Different technologies have been used in different links to address the variety of situations and needs that arise in real networks, exploring a wide range of possibilities. Finally, a set of realistic use cases have been implemented to demonstrate the validity and performance of the network. The testing took place during a period close to three years, where most of the nodes were continuously active.","Vicente Martin (Universidad Politécnica de Madrid / Center for computational simulation); Juan Pedro Brito (Universidad Politécnica de Madrid / Center for computational simulation); Laura Ortiz (Universidad Politécnica de Madrid / Center for computational simulation); Ruben Brito-Mendez (Universidad Politécnica de Madrid / Center for computational simulation); Jaime Saez-Buruaga (Universidad Politécnica de Madrid / Center for computational simulation); Rafael J. Vicente (Universidad Politécnica de Madrid / Center for computational simulation); Alberto Sebastian-Lombraña (Universidad Politécnica de Madrid / Center for computational simulation); David Rincon (IMDEA SW Institute); Cesar Sanchez (IMDEA SW institute); Fernando Pérez (IMDEA SW Institute); Momtchil Peev (Munich Research Center, Huawei Technologies Duesseldorf GmbH, Munich, Germany); Fred Fung (Munich Research Center, Huawei Technologies Duesseldorf GmbH, Munich, Germany); Hans H. Brunner (Munich Research Center, Huawei Technologies Duesseldorf GmbH, Munich, Germany); Andreas Poppe (Nutshell Quantum-Safe GmbH, Vienna, Austria); Florian Frowis (Nutshell Quantum-Safe GmbH, Vienna, Austria); Andrew J. Shields (Toshiba Europe Ltd., Cambridge, UK); Robert L. Woodward (Toshiba Europe Ltd., Cambridge, UK); Helmut Griesser (Adva Network Security GmbH. Berlin, Germany); Stefan Roehrich (Rohde & Schwarz Cybersecurity GmbH, Germany); Fernando De La Iglesia (Quside, Barcelona, Spain); Carlos Abellán (Quside, Barcelona, Spain); Michael Hentschel (Austrian Institute of Technology, Vienna, Austria); Jose Manuel Rivas-Moscoso (Telefónica gCTIO/I+D, Madrid, Spain); Antonio Pastor-Perales (Telefónica gCTIO/I+D, Madrid, Spain); Jesus Folgueira (Telefónica gCTIO/I+D, Madrid, Spain); Diego López (Telefónica gCTIO/I+D, Madrid, Spain)",2024,0.117803,0.764009,0.118188,2,0,0,0,0,0,0,0.484694,0,0,0,0,0,0,0,0,0,0.642871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563783,0,0,0,0,0,0,0,0,0,0,0,1.000000206
20,The largest quantum network of Europe in a node: Norte in MadQCI,Quantum Network Deployment,- Detailed deployment of Norte node in the MadQCI network - Connects 26 QKD modules in 9 nodes - Host for co-located QKD-switched network,"During its fourth iteration, the Madrid Quantum Network (MadQCI) gathered up to 26 quantum key distribution (QKD) modules in 9 nodes connected by approximately 110 kilometres of fibre optic pairs. These nodes were part of two domains that had to be connected by an border link. It also hosted a co-located network testing a QKD-switched network. The deployment allowed quantum resources of different nature to be distributed and multiple use cases to be tested. This article details a single node in the network, called Norte, to exemplify the network deployment as a whole.",Alberto Sebastián-Lombraña (Universidad Politécnica de Madrid. Center for Computational Simulation); Juan Pedro Brito Mendez (Universidad Politécnica de Madrid); Rubén B. Méndez (Universidad Politécnica de Madrid. Center for Computational Simulation); Rafael J Vicente (Universidad Politécnica de Madrid. Center for Computational Simulation); Jaime S. Buruaga (Universidad Politécnica de Madrid. Center for Computational Simulation); Laura Ortiz (Universidad Politécnica de Madrid. Center for Computational Simulation); Vicente Martin-Ayuso (Universidad Politécnica de Madrid),2024,0.123749,0.751824,0.124427,2,0,0,0,0,0,0,0.465739,0,0,0,0,0,0,0,0,0,0.82364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270867,0,0,0,0,0.999999985
21,Spanning tree packing algorithm for conference secret key propagation and GHZ distillation,Key Agreement and GHZ Distillation,#NAME?,"Networks of nodes connected by pairwise quantum key distribution (QKD) links are actively developing now. We consider the following problem: Given pairwise secret keys from QKD, how to agree on a common (conference) key for the whole network using classical communication? We propose an algorithm based on spanning tree packing from the graph theory and prove its optimality. The same algorithm can be applied for the GHZ distillation in pair-entangled networks.",Anton Trushechkin (Heinrich Heine University Düsseldorf); Justus Neumann (Heinrich Heine University Düsseldorf); Hermann Kampermann (Heinrich Heine University Düsseldorf); Dagmar Bruss (Heinrich Heine University Düsseldorf),2024,0.137466,0.120889,0.741646,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425383,0,0,0,0,0,0,0,0,0,0,0.494794,0,0,0,0,0,0,0,0,0.999999804
22,Quantum Key Leasing for PKE and FHE with a Classical Lessor,Quantum Key Leasing,#NAME?,"In this work, we consider the problem of secure key leasing, also known as revocable cryptography (Agarwal et. al. Eurocrypt' 23, Ananth et. al. TCC' 23), as a strengthened security notion to its predecessor put forward in Ananth et. al. (Eurocrypt' 21). This problem aims to leverage unclonable nature of quantum information to allow a lessor to lease a quantum key with reusability for evaluating a classical functionality. Later, the lessor can request the lessee to provably delete the key and then the lessee will be completely deprived of the capability to evaluate. In this work, we construct a secure key leasing scheme to lease a decryption key of a (classical) public-key, homomorphic encryption scheme from standard lattice assumptions. Our encryption scheme is exactly identical to the (primal) version of Gentry-Sahai-Waters homomorphic encryption scheme with a carefully chosen public key matrix. We achieve strong form of security where: The entire protocol (including key generation and verification of deletion) uses merely classical communication between a classical lessor (client) and a quantum lessee (server). Assuming standard assumptions, our security definition ensures that every computationally bounded quantum adversary could only simultaneously provide a valid classical deletion certificate and yet distinguish ciphertexts with at most some negligible probability. Our security relies on subexponential time hardness of learning with errors assumption. Our scheme is the first scheme to be based on a standard assumption and satisfying the two properties mentioned above. The main technical novelty in our work is the design of an FHE scheme that enables us to apply elegant analyses done in the context of classical verification of quantumness from LWE (Brakerski et. al.(FOCS'18, JACM'21) and its parallel amplified version in Radian et. al.(AFT'21)) to the setting of secure leasing. This connection to classical verification of quantumness leads to a modular construction and arguably simpler proofs than previously known. An important technical component we prove along the way is an amplified quantum search-to-decision reduction: we design an extractor that uses a quantum distinguisher (who has an internal quantum state) for decisional LWE, to extract secrets with success probability amplified to almost one. This technique might be of independent interest.","Orestis Chardouvelis (Carnegie Mellon University); Vipul Goyal (NTT Research, Carnegie Mellon University); Aayush Jain (Carnegie Mellon University); Jiahui Liu (Massachusetts Institute of Technology)",2024,0.8208,0.0908537,0.0883462,1,0.206535,0,0.519959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229881,0,0,0,0,0.206535,0.229881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156999,0,0,0,0,0.536063,0,0,0,0,0.25998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25998,0.302401,0,0,0,0,0,0.999999557
23,Twin Field Quantum Key Distribution Across National Scale Telecommunication Infrastructure,Twin Field QKD over Existing Infrastructure,- Implementation of Twin Field QKD over 254 km link - Integrated into standard telecommunication infrastructure - Achieves 110 bit/s rate,"Quantum Communications (QC) harness quantum mechanical phenomena such as superposition and entanglement to enhance information transfer between remote nodes. Coherent quantum communications refer to QC schemes relying on maintaining optical coherence between nodes for successful execution. These schemes typically involve single photon interference between optical fields generated by distant parties and represent a cornerstone of a promising architecture of the quantum internet. Despite their significant potential, scientific and technical hurdles - including optical coherence maintenance, integrating high-performance single-photon detectors, and precise stabilisation and synchronisation - have prevented the implementation of coherent QC over existing telecommunication infrastructure. Here we present the first realisation of a coherent QC fully integrated into standard telecommunication infrastructure over a link connecting the German cities of Frankfurt and Kehl. The implemented scheme is the Twin Field Quantum Key Distribution (QKD) protocol, enabling the distribution of a shared secret key for encryption at a rate of 110 bit/s over a highly asymmetric 254 km link. This result, obtained with a system featuring measurement-device-independent properties, marks the longest installed QKD implementation utilising non-cryogenic cooled detectors and was enabled by the QC system architecture we developed and by our approach to phase stabilisation, which involves active out-of-band phase stabilisation and avalanche photodiodes for single photon detection. This achievement, not only represents a milestone for practical quantum communications but also validates the compatibility of coherent QC with current telecommunication infrastructure, supporting the feasibility of a phase-based architecture for the quantum internet.",Mirko Pittaluga (Toshiba Europe Ltd); Yuen San Lo (Toshiba Europe Ltd); Adam Brzosko (Toshiba Europe Ltd); Robert I. Woodward (Toshiba Europe Ltd); Matthew S. Winnel (Toshiba Europe Ltd); Thomas Roger (Toshiba Europe Ltd); James F. Dynes (Toshiba Europe Ltd); Piotr Rydlichowski (Poznan Supercomputing and Networking Center); Domenico Vicinanza (GEANT Vereniging); Guy Roberts (GEANT Vereniging); Andrew J. Shields (Toshiba Europe Ltd),2024,0.48799,0.42711,0.0849,1,0.145004,0,0,0,0,0,0,0,0.182526,0,0.161395,0,0,0.182526,0,0.161395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120289,0,0,0,0,0,0,0,0,0,0,0,0,0.138749,0,0,0.11048,0,0,0,0,0,0.0940896,0,0,0,0,0,0,0,0,0,0,0,0.547578,0,0,0,0,0.182526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182526,0,0,0,0.182526,0,0,0,0,0.636928,0,0.999999955
24,The Quantum Decoherence Model: Everlasting Commitments and Quantum Incompressible Encryption,Quantum Decoherence Model,#NAME?,"Quantum cryptography allows to achieve security goals that are unobtainable using classical cryptography alone, it offers the promise of everlasting privacy. That is, an adversary trying to attack a protocol must succeed during the run of the protocol, after the protocol has terminated security holds unconditionally. In this work we initiate the study of a new model which we call the quantum decoherence model (QDM). In a nutshell, this model requires that the adversary is computationally bounded during the run of a protocol (and some time after), but becomes computationally unbounded long after the protocol terminates. Importantly, once the adversary becomes computationally unbounded, he can only remember a bounded number of qubits from before the bound was lifted. As our main contribution, we construct a non-interactive commitment scheme achieving unconditional security against malicious senders and everlasting security against malicious receivers in the UC model. Additionally, we show that it gives rise to everlasting public key encryption and OT in the QDM. Finally, we also consider the weaker notion of incompressible encryption in the setting of quantum decoherence, and show that post-quantum IND-CPA secure public key encryption is sufficient to realize this notion without resorting to random oracles.","Anne Müller (CISPA - Helmholtz Center for Information Security); Nico Döttling (CISPA - Helmholtz Center for Information Security); Sven Maier (KASTEL Security Research Labs, Karlsruhe Institute of Technology); Marcel Tiepelt (KASTEL Security Research Labs, Karlsruhe Institute of Technology); Alexander Koch (CNRS, IRIF, Université Paris Cité); Jörn Müller-Quade (KASTEL Security Research Labs, Karlsruhe Institute of Technology)",2024,0.719051,0.140055,0.140895,1,0,0,0,0,0,0,0,0,0,0,0,0,0.158661,0,0,0,0,0,0,0,0,0,0.212879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000059
25,The Rio Quantum Network: towards a reconfigurable hybrid metropolitan QKD network,Metropolitan Quantum Network,#NAME?,"This work introduces a metropolitan quantum communication network connecting four research institutions in the state of Rio de Janeiro through installed dark optical fibers and a 7-km free space link. The Twin-Field Measurement Device Independent Quantum Key Distribution (TF-MDI-QKD) protocol is implemented to enable secure communication between any two network nodes independently, without the need for trusted nodes. The proposed structured - a ""folded Sagnac"" configuration - is shown to be able to not only automatically compensate for phase fluctuations but also circumvent unneeded losses by reconfiguring the Sagnac loop size as needed; moreover, by employing polarization control and a Faraday Mirror, the free-space link can be added to the loop without the need for additional telescopes. The first experimental results will be presented together with the main engineering challenges being tackled.",Guilherme Temporao (Pontifical Catholic University of Rio de Janeiro (PUC-Rio); Fernando Melo (Centro Brasileiro de Pesquisas Físicas); Antonio Khoury (Universidade Federal Fluminense),2024,0.118764,0.675517,0.205719,2,0,0,0,0,0,0,0,0,0,0,0,0.236448,0,0,0,0.209074,0.836296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27503,0,0,0.179738,0.131911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27503,0,0,0,0.999999928
