NoDTest,achiev,appli,classic,coher,construct,demonstr,deploy,establish,exist,generat,implement,includ,introduc,km,length,link,network,number,practic,present,previous,provid,scheme,techniqu,time,applic,attack,base,communic,bound,channel,cryptographi,comput,cryptograph,devic,error,distribut,effici,entangl,general,function,independ,long,measur,loss,model,phase,photon,proof,qkd,protocol,random,rate,secur,state,system,singl,verif,key,high,adapt,amplif,arbitrari,assumpt,bb84,commit,compos,conjectur,detect,distanc,field,finit,iid,imperfect,improv,integr,issu,linear,local,lower,optim,presenc,privaci,pseudorandom,qrng,reduc,resourc,robust,scalabl,scale,scenario,secret,stabil,standard,strong,switch,tf,toler,twin,variabl,challeng,develop,studi,promis,show,approach,final,technolog,differ,requir,propos,design,optic,work,result,process,perform,experiment,low,transmiss,DocWords
1,0,0,0,0,0,0,0,0,0,0,0,0,0.102535,0,0,0,0,0,0,0,0.180974,0,0,0,0,0,0,0,0,0,0,0.180974,0,0,0,0,0,0,0.155587,0.155587,0,0,0,0,0,0,0,0,0,0,0.347198,0,0,0.140936,0.347198,0,0,0.412722,0,0,0,0,0.155587,0,0,0,0.622346,0.180974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc1: compos(0.622), verif(0.413), protocol(0.347)"
2,0,0,0,0,0,0.0742627,0.144064,0,0,0.343345,0.127385,0,0,0,0,0,0,0.25477,0,0.167571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167571,0,0,0.127385,0,0.284823,0,0,0,0.382155,0,0.0869986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432191,0,0,0,0,0,0,0,0,0.335141,0,0,0.335141,0.167571,0,0,0,0.167571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc2: integr(0.432), random(0.382), generat(0.343)"
3,0,0,0,0,0,0,0,0.176263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143737,0,0.199342,0,0,0,0,0.176263,0.131371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231868,0,0,0.231868,0,0,0,0.695605,0,0,0,0,0.463737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc3: resourc(0.696), secret(0.464), amplif(0.232)"
4,0,0,0,0,0,0,0,0.103305,0,0,0,0,0,0,0,0,0,0,0,0.135894,0,0,0.103305,0,0,0,0,0,0,0.38497,0,0,0.271788,0,0,0,0,0,0.350492,0,0.116831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103305,0,0,0,0,0,0,0.135894,0,0,0,0,0,0,0,0,0,0,0,0,0.135894,0.271788,0.679471,0,0,0,0,0,0,0.135894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc4: lower(0.679), bound(0.385), entangl(0.350)"
5,0,0,0,0,0,0,0,0,0.275731,0,0,0,0.0908563,0,0,0,0,0,0.137865,0,0,0.0994088,0,0,0.160361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160361,0,0.641444,0,0,0.0908563,0,0,0.307652,0,0.0834478,0.208139,0,0,0,0.243809,0,0,0.137865,0,0.137865,0,0,0,0,0,0.137865,0.160361,0,0,0,0,0,0,0.160361,0,0,0,0,0.160361,0,0,0,0.160361,0,0,0,0,0,0,0,0,0.160361,0,0,0.160361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc5: loss(0.641), protocol(0.308), exist(0.276)"
6,0,0,0,0,0,0,0,0.320879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438294,0,0,0,0,0,0,0,0,0,0,0,0,0.725784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc6: compos(0.726), secur(0.438), cryptograph(0.422)"
7,0,0,0,0,0,0.108415,0,0,0,0,0,0,0,0,0,0,0,0.185968,0,0,0,0,0.185968,0,0,0,0.334163,0,0,0,0,0,0,0,0,0,0.138603,0,0,0,0,0,0,0,0,0,0,0.138603,0,0.159874,0,0,0,0.127008,0,0,0,0,0.108415,0,0,0,0,0,0,0,0,0,0,0,0.420633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489269,0.244634,0,0.489269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc7: switch(0.489), twin(0.489), field(0.421)"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606073,0,0,0,0,0,0,0,0,0,0,0,0.136131,0,0,0,0,0,0,0,0,0,0.112928,0,0,0,0,0,0,0,0,0,0,0,0.408392,0.0651291,0.0955974,0,0.10372,0.155221,0,0,0,0,0.176664,0,0,0.199317,0,0,0,0,0,0,0,0,0,0,0.199317,0,0.171357,0,0,0,0,0,0,0,0.199317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc8: length(0.606), variabl(0.455), proof(0.408)"
9,0,0,0,0.224507,0,0,0,0,0,0,0,0,0,0,0.341336,0,0,0,0.193013,0,0,0,0,0,0,0.170668,0.153335,0,0,0,0.224507,0,0,0,0,0.224507,0,0,0,0,0,0,0,0,0,0,0.224507,0,0.306671,0.220081,0,0,0,0.174838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449015,0,0,0.224507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224507,0,0,0,0,0,0,0,0,0.341336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc9: imperfect(0.449), length(0.341), variabl(0.341)"
10,0,0,0,0,0,0.297846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672078,0,0,0,0,0,0,0,0,0.380781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322345,0.459019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc10: previous(0.672), system(0.459), bound(0.381)"
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248326,0,0,0,0,0.248326,0,0,0,0.197277,0,0.163652,0,0,0,0,0,0,0.163652,0,0,0.248326,0,0,0,0,0.288845,0,0,0.163652,0,0.0943834,0,0,0.150308,0.0749807,0.415612,0,0.219576,0,0.384025,0,0,0,0,0,0,0,0,0,0,0,0,0.248326,0,0,0.248326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc11: state(0.416), key(0.384), loss(0.289)"
12,0.221842,0,0,0,0,0.143948,0,0,0,0,0.493837,0,0,0,0,0.246918,0.246918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18403,0.246918,0,0,0,0,0,0,0,0,0,0,0,0.106136,0.155788,0,0.169024,0,0,0,0.246918,0,0.287896,0,0.279247,0,0,0,0,0,0,0,0,0.324812,0.279247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc12: implement(0.494), distanc(0.325), key(0.288)"
13,0,0.247142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222043,0.106232,0.311859,0,0,0.253181,0,0,0,0,0,0,0,0,0,0,0.650214,0,0,0,0.2795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325107,0,0,0,0,0,0,0,0,0.247142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc13: bb84(0.650), scenario(0.325), protocol(0.312)"
14,0.184778,0,0,0,0,0,0,0,0,0.184778,0.205665,0,0,0,0,0,0,0.205665,0,0,0,0,0,0,0,0,0,0.184778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153284,0,0,0,0.205665,0.140785,0,0,0,0,0,0,0.554335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232593,0,0,0,0,0,0,0,0,0.54109,0.270545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc14: high(0.554), qrng(0.541), reduc(0.271)"
15,0.12728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141667,0,0,0,0,0,0,0,0,0,0,0.141667,0,0,0,0,0,0,0,0,0.141667,0,0,0,0,0,0.160216,0,0,0,0.211172,0,0,0,0,0.193953,0,0,0,0,0,0,0.6364,0,0,0,0,0,0,0,0,0.640863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc15: detect(0.641), high(0.636), photon(0.211)"
16,0,0,0,0,0,0.138602,0,0,0,0,0,0,0,0.268876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177195,0,0,0,0,0.268876,0,0.35439,0,0,0,0,0.268876,0,0.268876,0,0,0,0,0,0.204388,0,0,0.162747,0.0811858,0,0.213603,0,0,0.415805,0.213603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc16: key(0.416), distribut(0.354), local(0.313)"
17,0,0,0,0,0.17305,0,0,0,0,0,0,0,0.143554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385222,0,0,0.243048,0,0.385222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc17: pseudorandom(0.770), random(0.385), singl(0.385)"
18,0,0,0,0,0.19211,0,0,0,0,0.19211,0,0,0,0,0.213825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241821,0,0,0,0,0.427651,0,0,0,0,0,0,0,0.0730168,0.404726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241821,0,0,0.641476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc18: pseudorandom(0.641), model(0.428), state(0.405)"
19,0,0,0,0,0,0,0.484694,0,0,0,0,0,0,0,0,0,0.642871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc19: network(0.643), scalabl(0.564), deploy(0.485)"
20,0,0,0,0,0,0,0.465739,0,0,0,0,0,0,0,0,0,0.82364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc20: network(0.824), deploy(0.466), switch(0.271)"
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425383,0,0,0,0,0,0,0,0,0,0,0.494794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc21: key(0.658), secret(0.495), optim(0.425)"
22,0.206535,0,0.519959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229881,0,0,0,0,0.206535,0.229881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156999,0,0,0,0,0.536063,0,0,0,0,0.25998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25998,0.302401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc22: key(0.536), classic(0.520), strong(0.302)"
23,0.145004,0,0,0,0,0,0,0,0.182526,0,0.161395,0,0,0.182526,0,0.161395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120289,0,0,0,0,0,0,0,0,0,0,0,0,0.138749,0,0,0.11048,0,0,0,0,0,0.0940896,0,0,0,0,0,0,0,0,0,0,0,0.547578,0,0,0,0,0.182526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182526,0,0,0,0.182526,0,0,0,0,0.636928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc23: twin(0.637), field(0.548), exist(0.183)"
24,0,0,0,0,0,0,0,0,0,0,0,0,0.158661,0,0,0,0,0,0,0,0,0,0.212879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc24: commit(0.722), model(0.639), scheme(0.213)"
25,0,0,0,0,0,0,0,0,0,0,0,0.236448,0,0,0,0.209074,0.836296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27503,0,0,0.179738,0.131911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc25: network(0.836), phase(0.275), tf(0.275)"
26,0,0,0,0,0,0,0,0.329029,0,0,0,0,0.245228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245228,0,0,0,0,0,0,0,0,0,0,0.372108,0,0,0,0,0,0,0,0,0,0,0,0,0.112356,0,0,0.658058,0,0,0,0,0,0,0,0,0,0,0.432826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc26: singl(0.658), conjectur(0.433), function(0.372)"
27,0,0.162195,0,0,0,0,0,0,0,0,0,0.183431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120885,0,0.213361,0,0,0.733723,0,0,0,0,0,0,0.183431,0,0,0,0,0,0,0.145723,0,0.102333,0,0,0.055386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426723,0,0,0,0,0,0,0,0.213361,0,0,0,0,0,0.213361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc27: devic(0.734), imperfect(0.427), cryptographi(0.213)"
28,0,0,0,0,0,0.0870129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506394,0,0,0.149256,0,0,0,0.506394,0,0,0,0,0,0.222483,0,0,0.09417,0,0,0,0.37668,0,0,0.447768,0,0.134098,0,0,0,0,0,0,0,0,0,0,0,0,0.196341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc28: devic(0.506), independ(0.506), verif(0.448)"
29,0,0,0,0,0,0,0,0,0.220005,0,0,0,0.144988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255903,0,0,0,0,0,0,0,0,0,0,0,0,0.194534,0,0,0,0,0,0,0,0.0664293,0,0,0,0,0,0,0,0,0,0.220005,0,0.880018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc29: commit(0.880), comput(0.256), exist(0.220)"
30,0,0,0.228673,0,0.181664,0.117878,0,0,0,0.544993,0,0,0,0,0,0,0,0,0,0,0,0.164886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255147,0,0,0,0,0,0,0,0,0,0,0.686019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc30: commit(0.686), generat(0.545), state(0.255)"
31,0,0,0,0.273316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169431,0,0.234975,0,0,0.373342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373342,0.0893092,0.262179,0,0,0.212849,0.524357,0,0,0,0,0,0,0,0.234975,0,0,0,0,0,0,0,0,0.234975,0,0,0.234975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc31: state(0.524), attack(0.373), proof(0.373)"
32,0,0.201323,0.455365,0,0.180877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264833,0,0,0,0,0,0.227682,0,0,0,0.227682,0,0,0,0,0,0,0,0,0,0,0,0.361755,0,0,0,0,0,0,0,0.455365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc32: classic(0.455), assumpt(0.455), standard(0.455)"
33,0,0,0,0,0.470174,0.101695,0,0,0,0,0,0,0.130012,0,0,0,0,0,0,0,0,0.14225,0,0,0,0.17444,0,0,0,0,0,0,0,0,0,0,0,0.17444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17444,0,0,0,0,0,0,0,0,0.394559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45894,0,0,0,0,0,0.523321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc33: pseudorandom(0.523), construct(0.470), linear(0.459)"
34,0,0,0,0,0,0.139328,0,0,0,0.214722,0,0,0,0,0,0.477988,0,0,0,0,0,0,0,0,0.314388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc34: entangl(0.541), scale(0.541), link(0.478)"
35,0,0.174329,0,0,0,0,0,0,0,0,0,0,0,0.197154,0.174329,0,0,0,0,0,0,0,0,0,0,0.174329,0,0.156625,0.174329,0,0.687971,0,0,0,0,0.229324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749341,0,0,0,0.0595296,0,0.313249,0,0,0.10163,0.156625,0,0,0,0,0,0,0.197154,0,0,0,0,0.197154,0,0,0,0,0,0,0,0,0.197154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc35: channel(0.688), system(0.313), error(0.229)"
36,0,0,0,0,0,0.128464,0,0,0,0,0,0.249209,0,0,0,0,0,0,0,0,0,0.179694,0,0,0,0,0,0.593937,0,0,0,0,0,0,0,0,0.328469,0,0,0,0,0,0,0,0,0,0,0,0,0.378877,0,0,0,0,0,0.395958,0,0,0.256928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc36: base(0.594), system(0.396), qkd(0.379)"
